country,count
Algeria,1
Angola,1
Argentina,12
Australia,33
Austria,10
Bahrain,1
Belgium,4
Bermuda,1
Brazil,81
Canada,53
Chile,19
China,153
Colombia,8
Cyprus,4
Czech Republic,6
Denmark,10
Ecuador,1
Egypt,9
Finland,4
France,72
Georgia,1
Germany,160
Greece,11
Guernsey,1
Hong Kong,77
India,63
Indonesia,31
Ireland,8
Israel,26
Italy,58
Japan,96
Kazakhstan,5
Kuwait,7
Lebanon,9
Liechtenstein,2
Lithuania,1
Macau,2
Malaysia,28
Mexico,44
Monaco,3
Morocco,4
Nepal,1
Netherlands,12
New Zealand,3
Nigeria,4
Norway,11
Oman,2
Peru,9
Philippines,22
Poland,5
Portugal,5
Romania,1
Russia,119
Saudi Arabia,22
Singapore,26
South Africa,12
South Korea,36
Spain,37
St. Kitts and Nevis,1
Swaziland,1
Sweden,27
Switzerland,51
Taiwan,40
Tanzania,1
Thailand,23
Turkey,32
Uganda,1
Ukraine,9
United Arab Emirates,5
United Kingdom,65
United States,903
Venezuela,7
Vietnam,1
